,galaxy,galaxy,galaxy,note,note,note,headphone,headphone,headphone
,revenue,expense,profit,revenue,expense,profit,revenue,expense,profit
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,600.0,115.0,485.0,480.0,115.0,365.0,0.0,115.0,-115.0
2,204.0,420.0,-216.0,2196.0,335.0,1861.0,0.0,1970.0,-1970.0
3,204.0,140.0,64.0,4410.0,1535.0,2875.0,0.0,1320.0,-1320.0
4,0.0,140.0,-140.0,6266.0,3085.0,3181.0,0.0,3280.0,-3280.0
5,2460.0,3475.0,-1015.0,8505.0,3240.0,5265.0,0.0,3120.0,-3120.0
6,1648.0,1720.0,-72.0,10206.0,3075.0,7131.0,0.0,2970.0,-2970.0
7,1236.0,1150.0,86.0,8365.0,2890.0,5475.0,0.0,2825.0,-2825.0
8,2436.0,865.0,1571.0,7050.0,2735.0,4315.0,0.0,2660.0,-2660.0
9,2639.0,1705.0,934.0,6110.0,2650.0,3460.0,0.0,1970.0,-1970.0
10,3000.0,1845.0,1155.0,4760.0,2500.0,2260.0,0.0,2230.0,-2230.0
11,2955.0,2100.0,855.0,4977.0,2660.0,2317.0,0.0,2430.0,-2430.0
12,4554.0,2065.0,2489.0,6815.0,2860.0,3955.0,0.0,2640.0,-2640.0
13,6045.0,3000.0,3045.0,6453.0,3180.0,3273.0,0.0,2930.0,-2930.0
14,2895.0,2870.0,25.0,5170.0,3320.0,1850.0,0.0,3200.0,-3200.0
15,4224.0,2025.0,2199.0,5900.0,3520.0,2380.0,0.0,3420.0,-3420.0
16,4347.0,2700.0,1647.0,7584.0,3750.0,3834.0,0.0,3670.0,-3670.0
17,3196.0,2590.0,606.0,7821.0,3920.0,3901.0,0.0,3990.0,-3990.0
18,3348.0,2235.0,1113.0,5405.0,4110.0,1295.0,0.0,4320.0,-4320.0
19,2444.0,2340.0,104.0,4284.0,3780.0,504.0,0.0,4550.0,-4550.0
20,2068.0,1710.0,358.0,4560.0,2990.0,1570.0,0.0,4730.0,-4730.0
21,2432.997259860028,1445.0,987.997259860028,5280.0,3190.0,2090.0,0.0,4920.0,-4920.0
22,2635.7470315150304,1700.0,935.7470315150304,3840.0,3690.0,150.0,0.0,5140.0,-5140.0
23,3243.996346480037,1845.0,1398.9963464800371,3120.0,2680.0,440.0,0.0,5300.0,-5300.0
